Book Name,Author,Rating,Customers_Rated,Price
Find Me (Inland Empire Book 1),Anne Frasier,4.4 out of 5 stars,39,$4.99
Opium and Absinthe: A Novel,Lydia Kang,4.8 out of 5 stars,12,$4.99
Never Look Back,Mary Burton,4.3 out of 5 stars,29,$4.99
Someone Else's Secret: A Novel,Julia Spiro,3.7 out of 5 stars,18,$4.99
White Fragility: Why It's So Hard for White People to Talk About Racism,Robin J. DiAngelo,4.4 out of 5 stars,"1,610",$12.99
The Bone Jar (Detective Lew Kirby Book 1),S W Kane,4.1 out of 5 stars,8,$4.99
The Lending Library: A Novel,Aliza Fogelson,3.6 out of 5 stars,17,$4.99
How to Be an Antiracist,Ibram X. Kendi,4.8 out of 5 stars,470,$14.99
Scarlet Odyssey,C. T. Rwizi,3.3 out of 5 stars,6,$4.99
"Me and White Supremacy: Combat Racism, Change the World, and Become a Good Ancestor",Layla F. Saad,4.6 out of 5 stars,81,$2.99
Artemis Fowl,Eoin Colfer,4.4 out of 5 stars,"1,756",$0.99
"If You Tell: A True Story of Murder, Family Secrets, and the Unbreakable Bond of Sisterhood",Gregg Olsen,4.4 out of 5 stars,"8,221",$1.99
Kat and Juju,Kataneh Vahdani,4.4 out of 5 stars,31,$4.99
The Book Woman of Troublesome Creek: A Novel,Kim Michele Richardson,4.7 out of 5 stars,"2,732",$7.59
My Big Fat Fake Engagement,Lauren Landish,4.8 out of 5 stars,105,$2.99
So You Want to Talk About Race,Ijeoma Oluo,4.7 out of 5 stars,497,$10.99
The Tour: A feel-good Irish springtime read. (The Tour Series Book 1),Jean Grainger,4.5 out of 5 stars,"1,837",$6.99
The Girl Who Lived: A Thrilling Suspense Novel,Christopher Greyson,4.4 out of 5 stars,"3,583",$9.99
The Hunter: An Enemies-to-Lovers Romance,L.J. Shen,4.6 out of 5 stars,816,$2.99
When We Believed in Mermaids: A Novel,Barbara O'Neal,4.6 out of 5 stars,"6,831",$4.99
Between the World and Me,Ta-Nehisi Coates,4.6 out of 5 stars,"5,557",$12.99
Harry Potter and the Sorcerer's Stone,J.K. Rowling,4.8 out of 5 stars,"23,003",$8.99
